reading from file run-01-idle, link-type EN10MB (Ethernet)
1788373916.902437 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373916.951896 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373917.002475 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373917.052066 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373917.102663 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373917.152268 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373917.201823 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373917.252366 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373917.301861 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373917.352502 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373917.402122 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373917.452816 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373917.502493 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373917.552292 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373917.602687 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373917.652289 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373917.701970 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373917.752539 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373917.802314 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373917.851975 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373917.902487 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373917.952147 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373918.002728 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373918.052443 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373918.101952 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373918.152604 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373918.202540 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373918.252284 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373918.302737 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373918.352468 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373918.409814 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373918.452298 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373918.501835 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373918.552656 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373918.602379 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373918.652076 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373918.701801 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373918.752563 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373918.802209 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373918.851768 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373918.902426 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373918.952210 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373919.001922 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373919.052598 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373919.102463 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373919.169255 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373919.201751 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373919.252336 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373919.301848 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373919.352487 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
