reading from file run-01-idle, link-type EN10MB (Ethernet)
1788373915.402492 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373915.452280 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373915.501761 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373915.552384 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373915.602148 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373915.651805 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373915.702644 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373915.752386 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373915.802057 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373915.852661 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373915.902313 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373915.951960 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373916.002493 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373916.052085 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373916.102620 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373916.152204 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373916.202798 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373916.252796 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373916.305199 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373916.351970 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373916.402663 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373916.452374 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373916.502963 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373916.552794 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373916.602546 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373916.652278 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373916.702713 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373916.752314 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373916.801882 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373916.852553 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
