reading from file run-07-idle, link-type EN10MB (Ethernet)
1788373942.655912 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373942.705536 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373942.755149 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373942.805658 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373942.855098 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373942.905677 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373942.955461 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373943.006066 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373943.055722 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373943.105414 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373943.155950 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373943.205564 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373943.255065 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373943.305619 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373943.355102 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373943.405645 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373943.455398 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373943.505998 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373943.555767 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373943.605560 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373943.655185 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373943.705735 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373943.755365 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373943.805872 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373943.855454 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373943.905036 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373943.955637 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373944.005565 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373944.056084 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373944.105646 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373944.155121 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373944.205825 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373944.255378 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373944.306159 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373944.355812 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373944.405484 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373944.456083 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373944.505735 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373944.555191 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373944.626319 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373944.655916 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373944.705484 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373944.755063 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373944.805890 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373944.855428 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373944.906210 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373944.956096 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373945.005771 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373945.055450 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373945.105994 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373945.155570 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373945.205260 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373945.255939 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373945.305629 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373945.355474 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373945.406037 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373945.455658 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373945.505338 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373945.556103 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373945.605584 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373945.655105 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373945.705684 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373945.755407 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373945.806015 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373945.855719 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373945.905372 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373945.956136 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373946.005760 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373946.055452 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373946.105095 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373946.155641 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373946.205399 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373946.255909 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373946.305537 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373946.355075 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373946.405761 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373946.455471 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373946.506106 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373946.555690 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373946.605489 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
