reading from file run-03-active, link-type EN10MB (Ethernet)
1788373925.886919 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373925.936600 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373925.986949 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373926.036492 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373926.086595 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373926.136483 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373926.187022 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373926.236780 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373926.286400 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373926.337009 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373926.386832 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373926.436946 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373926.486743 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373926.536456 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373926.586148 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373926.636886 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373926.686682 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373926.736448 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373926.787255 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373926.836778 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373926.886339 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373926.936868 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373926.986801 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373927.036645 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373927.089349 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373927.136143 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373927.186899 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373927.236817 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373927.286418 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373927.337036 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373927.386857 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373927.437107 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373927.486898 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373927.536688 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373927.586425 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373927.636988 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373927.686150 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373927.736762 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373927.786501 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373927.836202 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373927.886624 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373927.936379 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373927.987078 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373928.036160 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373928.087059 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373928.136731 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373928.186398 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373928.236530 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373928.286594 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373928.336197 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373928.387143 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373928.436735 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
