reading from file run-03-active, link-type EN10MB (Ethernet)
1788373924.486620 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373924.537138 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373924.587078 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373924.636342 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373924.687184 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373924.736321 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373924.786567 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373924.836211 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373924.886868 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373924.936880 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373924.987162 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373925.036645 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373925.086485 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373925.136574 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373925.187120 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373925.236984 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373925.286795 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373925.337178 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373925.386703 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373925.436447 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373925.487112 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373925.536735 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373925.586464 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373925.636104 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373925.687171 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373925.736869 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373925.786454 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373925.836200 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
