reading from file run-04-idle, link-type EN10MB (Ethernet)
1788373929.033338 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373929.082962 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373929.133517 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373929.183368 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373929.232870 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373929.282530 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373929.333014 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373929.382587 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373929.433351 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373929.483010 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373929.532659 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373929.583258 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373929.633048 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373929.683570 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373929.733370 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373929.783039 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373929.832594 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373929.883226 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373929.932993 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373929.982579 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373930.033334 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373930.082995 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373930.132552 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373930.183220 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373930.233006 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373930.282636 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373930.333075 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373930.382615 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373930.433493 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373930.483145 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373930.532746 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373930.583379 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373930.632949 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373930.682654 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373930.733218 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373930.782795 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373930.833471 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373930.883085 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373930.932988 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373930.982529 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373931.033375 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373931.082825 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373931.133428 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
