reading from file run-04-idle, link-type EN10MB (Ethernet)
1788373931.183022 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373931.232538 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373931.283190 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373931.333031 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373931.382605 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373931.433195 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373931.482868 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373931.533589 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373931.583361 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373931.632939 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373931.683535 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373931.733162 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373931.782771 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373931.833333 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373931.882879 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373931.933591 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373931.983149 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373932.032966 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373932.083388 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373932.133178 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373932.182840 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373932.233336 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373932.282812 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373932.333393 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373932.382930 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373932.433488 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373932.483148 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373932.532779 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373932.583425 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373932.633046 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373932.682619 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373932.733206 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373932.782975 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373932.832491 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373932.883048 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373932.932537 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373932.983263 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
