reading from file run-08-active, link-type EN10MB (Ethernet)
1788373947.189164 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373947.239088 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373947.289830 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373947.339570 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373947.389358 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373947.439867 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373947.489547 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373947.539051 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373947.589615 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373947.639299 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373947.690017 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373947.739785 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373947.789437 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373947.839197 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373947.889842 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373947.938964 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373947.989570 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373948.039501 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373948.089154 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373948.139735 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373948.189451 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373948.239191 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373948.289508 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373948.339416 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373948.389924 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373948.440034 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373948.489683 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373948.539526 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373948.589180 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
