reading from file run-08-active, link-type EN10MB (Ethernet)
1788373948.639915 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373948.689394 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373948.739168 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373948.789759 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373948.839572 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373948.889258 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373948.939755 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373948.989466 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373949.039896 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373949.089477 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373949.138918 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373949.189598 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373949.239406 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373949.289440 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373949.339701 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373949.389440 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373949.440719 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373949.489364 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373949.539897 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373949.589670 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373949.639375 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373949.689095 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373949.739900 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373949.789403 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373949.840082 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373949.889763 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373949.939408 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373949.989575 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373950.039270 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373950.089342 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373950.139310 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373950.189800 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373950.239926 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373950.289559 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373950.339530 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373950.389432 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373950.439220 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373950.489928 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373950.538888 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373950.589788 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373950.639435 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373950.689494 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373950.739027 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373950.789723 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373950.839856 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373950.889486 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373950.939191 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373950.989960 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373951.039646 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373951.089280 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373951.139849 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
