reading from file run-02-active, link-type EN10MB (Ethernet)
1788373919.946753 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373919.996114 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373920.045965 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373920.096708 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373920.146340 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373920.195859 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373920.246701 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373920.296392 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373920.346391 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373920.396676 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373920.446219 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373920.496897 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373920.546528 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373920.596176 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373920.646939 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373920.696597 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373920.746763 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373920.796482 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373920.846802 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373920.896666 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373920.946497 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373920.996195 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373921.046701 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373921.096765 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373921.146513 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373921.197073 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373921.246250 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373921.296976 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
