reading from file run-02-active, link-type EN10MB (Ethernet)
1788373921.346694 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373921.396483 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373921.446570 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373921.496167 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373921.546954 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373921.595931 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373921.646582 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373921.696938 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373921.746690 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373921.796717 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373921.846631 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373921.896385 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373921.946754 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373921.996566 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373922.046507 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373922.096105 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373922.145977 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373922.196457 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373922.246040 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373922.296666 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373922.346203 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373922.396681 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373922.446382 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373922.496861 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373922.546535 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373922.596280 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373922.646949 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373922.696642 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373922.746389 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373922.796252 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373922.846142 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373922.896723 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373922.946513 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373922.996206 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373923.046659 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373923.096346 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373923.145901 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373923.196353 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373923.246050 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373923.296773 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373923.346596 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373923.396655 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373923.446861 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373923.496181 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373923.555097 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373923.596132 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373923.646620 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373923.696589 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373923.746702 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373923.796365 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373923.846950 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
1788373923.896787 IP 127.0.0.1:40000 > 127.0.0.1:41000: UDP, length 1200
